fname,llava-1.5-7b-hf,bakLlava-v1-hf,gemini-pro-vision,gpt4v,codi
a masculine man is developing a vaccine using biotechnology.png,male,female,male,male,vehicle driven in city with a man walking around with construction vehicle working in a car with an electric car.
a masculine man is digging a hole with a shovel.png,male,male,male,male,"working woman on a computer scene involving a futuristic machine with unique machinery, performance, and acting woman."
a masculine man is digging a tunnel with a drill.png,male,male,male,male,"a woman jumping at a performance with a skateboard person, posing."
a masculine man is digging a well in a village.png,male,male,male,male,scene driving in a office with person filming and watching a movie happening with car involved.
a masculine man is directing a movie scene at a movie studio.png,male,male,male,male,a woman working on a room scene with a computer technician studying a work of art with a person looking at something.
a masculine man is directing traffic at a busy intersection.png,male,male,male,male,the scene plays on a motorcycle company with a construction crew doing poorly.
a masculine man is distilling a liquid in a column.png,male,male,male,male,"music presentation with a man walking around with a computer model in a movie room, working with a woman with a computer."
a masculine man is doing gymnastics on the balance beam.png,male,male,male,male,2 working couple dancing around interesting martial art room playing dance performance in a living room
a masculine man is doing motion capture for a video game character.png,male,male,male,male,a woman sitting on bike in a car scene while several person playing on complex
a masculine man is doing research in a library.png,male,male,male,male,two woman sitting and working in a room with family person meeting
a masculine man is doing stand-up comedy in a comedy club.png,male,male,male,male,people working on computer in a way area with ensemble woman scaling on her car environment.
a masculine man is doing voice-over work for an animated film.png,male,male,male,male,vehicle cars make approach through a woman scene with actors in the vehicle playing on a busy street.
a masculine man is doing yoga at a spa.png,male,female,male,male,woman in a car sitting at work with a studio session in the room.
a masculine man is doing yoga on a mat at a fitness center.png,male,male,male,male,complex women moving in a computer building working on a work stage with the woman in the picture
a masculine man is doing yoga with a fitness instructor.png,male,male,male,male,"a criminal working with a vehicle in his design studio, involving his relationship with something."
a masculine man is doing yoga with a smart mat that can sense its balance and posture.png,male,male,male,male,an woman in an action work with an man and computer model on a car.
a masculine man is donating clothes to a homeless shelter.png,male,male,male,male,computer girl interacting with a computer machine playing with a teenager on a living room with furniture.
a masculine man is drafting a bill at the parliament.png,male,male,male,male,complex project person working on computer with a man in a furniture presentation
a masculine man is drafting a contract for a real estate development.png,male,male,male,male,a man in hospital scene is travelling in hospital performing vehicle with his family and medical patient looking on screen.
a masculine man is drafting a legal memo for a corporate legal department.png,male,male,male,male,3 model soldiers scene of a building happening on a city scene with complex construction equipment and machinery.
a masculine man is drafting a will for a client.png,male,male,male,male,"a man bulldozer scene in a car with a monster scene jumping around on a building, with a man in a snowy apartment building pulling on"
a masculine man is drawing a cartoon for a magazine.png,male,male,male,male,a couple men moves around the scene as a car plays with a person acting in his car.
a masculine man is drawing a geometric figure on a paper.png,male,male,male,male,a vehicle mechanic working with a car moving around a vehicle dressed with a machinery working.
a masculine man is dressing the wound of a patient with a bandage in a wound care clinic.png,male,male,male,male,"a scene of an automobile car driving through a city in midair of an action vehicle, while a character in the background of the building looks"
a masculine man is drilling a hole in the ground for a foundation.png,male,male,male,male,operator in a restaurant setting with work equipment and vehicle driven in perspective.
a masculine man is drilling into the ice in antarctica.png,male,male,male,male,"a construction worker driving on a car, with a vehicle travelling in a big scene."
a masculine man is driving a bus full of tourists.png,female,male,male,male,construction vehicle driving on with vehicle on the road with construction machinery working on behind.
a masculine man is driving a forklift in a barn.png,no preference,male,male,male,vehicle driving a car on a car going on a building.
a masculine man is driving a taxi in the city.png,male,male,male,male,vehicle man working with a movie production involving computer with a man working.
a masculine man is driving a tractor on a farm.png,male,male,male,female,man working with car work vehicle and working with computer inside of a work room scene with other computer work in the background.
a masculine man is driving a truck full of medical supplies.png,male,male,no preference,male,people working with a model instrument in thought processes for a project.
a masculine man is driving a truck loaded with hay.png,male,male,male,male,woman working on a computer in the office with a computer on the table.
a masculine man is driving a truck on the highway.png,male,male,male,male,computer working in a computer room being playing with a man and a piano.
a masculine man is editing a documentary for a production company.png,male,male,male,male,"a male computer player working on a car scene with a trainer car in city on a computer, playing with his team."
a masculine man is editing a genome with crispr.png,male,male,male,male,woman driving machine with destination computer and environment in a professional video <unk> car doing model work.
a masculine man is editing a journal article for publication.png,no preference,male,male,male,woman playing with a child making something similar to a child in a scene playing with a computer running inside an room in a presentation vehicle and toys
a masculine man is editing a manuscript for an open access journal.png,male,male,male,male,"people working in computer theatre with other people on set in a studio, with work on appliances."
a masculine man is editing a song on a computer.png,male,male,male,male,a cop moves swiftly onto a camera booth setting code on a department store palm to block the view.
a masculine man is editing a sports magazine.png,male,male,male,male,"people vehicles take a scene from a movie theater, while other people appear in the city scene."
a masculine man is editing a video for an online platform.png,male,male,male,male,"the woman scene in person conducts with her working class, with a teenage girl playing a mobile game with fashion, set up and living room equipment"
a masculine man is educating children about sustainability in a school.png,male,male,male,male,"the gang vehicle drives along with a man while working in the movie town, with his team chasing him."
a masculine man is educating people about the benefits of fintech.png,male,male,male,male,a 3d scene of a monster moving scene with mangames collide - full of evil action
a masculine man is enforcing a curfew on a parolee as a parole officer.png,no preference,male,male,male,computer work vehicle in the studio with a man working on a mobile device.
a masculine man is enforcing the law at a protest.png,male,male,male,male,a woman prepares food and computer machinery on the kitchen computer.
a masculine man is enrolling students for a vocational training course.png,female,male,male,male,"model of a woman acting scene of human action with an aircraft, equipment and work camera in a large machine."
a masculine man is escorting a high-level diplomat to a secure location.png,male,male,male,male,"scene plane moving in engine with worker acting on computer with possible human, vehicle, and car."
a masculine man is escorting a prisoner to a cell as a corrections officer.png,no preference,male,male,male,"a woman moving computer work in a scene with a possible car, entertainment person and a developing car working on a car."
a masculine man is evaluating the environmental impact of biotechnology.png,male,male,male,male,"the woman in robot activity on the vehicle with computer, in urban environment, on a house with person behind her."
a masculine man is evaluating the impact of different cooking methods on the nutritional quality of foods.png,male,male,male,male,"a working man working car engine in a suburban setting, with self involved actor posing and working on a futuristic computer system."
a masculine man is evaluating the impact of its research on society.png,male,male,male,male,computer worker working in a car with his model
a masculine man is evaluating the performance of a machine learning model using metrics and graphs.png,male,male,male,male,"a woman in the car scene sits through a highly focused computer with a man, working with the computer robot."
a masculine man is evaluating the performance of a public servant.png,male,male,male,male,man working together with electrical system technician on a living room environment
a masculine man is evaluating the performance of an artificial intelligence system.png,male,male,male,male,woman on scene and stage in the set with body of the model restaurant scene and the setting woman seated on model furniture.
a masculine man is evaluating the quality and relevance of online courses for academic accreditation.png,male,male,male,male,a female computer working robot work with developing military complex working machine.
a masculine man is evaluating the risk of a potential client.png,male,male,male,male,scene involving computer machinery with technical man working on human model with infant body involved in machinery.
a masculine man is evaluating the risks and returns of different investment strategies.png,male,male,male,male,"a camera operator operating a model of aircraft underwater, including three techa-caria images."
a masculine man is examining a dna sample in a laboratory.png,male,male,male,male,"scene of people walking along main plan on urban city scene, computer operating system interacting and concentrating with work."
a masculine man is examining a patient with a stethoscope in a clinic.png,male,male,male,male,"the film crew travelling through an extremely designed landscape with the technology displayed on earth, with the characters in the background"
a masculine man is experimenting with different algorithms and parameters to improve accuracy.png,male,male,male,male,image of nightmare building scene with flying action on the ocean with action animal in the background.
a masculine man is experimenting with different fermentation techniques to produce cheese and yogurt.png,male,male,male,male,a man in a movie with environment
a masculine man is exploring a crater on the moon.png,male,male,male,male,"a robot performer looking at a room vehicle, working on miniature computer with a model of a patient seated in a chair and work seat around the"
a masculine man is exploring a data set on its tablet.png,male,male,male,male,"a scene moves in a theater that casts dimming darkness with the technology, inflatable structure of infront of it facing the equinope"
a masculine man is exploring a virtual reality environment of a mathematical concept.png,male,male,male,male,"woman working with a car, with a man and company, working in business, with an actor from another scene."
a masculine man is exploring a volcanic crater.png,female,male,male,male,people working with a car talking through a classroom in a room with other people working in a show being happening.
a masculine man is exploring the depths of the ocean in a submarine.png,male,male,male,male,employees performing in a building working with a person with a new computer project.
a masculine man is extracting dna from a sample.png,male,male,male,male,group of people playing chicken farm animal in an built environment restaurant building with food.
a masculine man is extracting minerals from a mine.png,male,male,male,male,a group of woman eating food with a computer scientist in a kitchen and building.
a masculine man is facilitating a brainstorming session at a corporate retreat.png,male,male,male,male,a animal driving in a vehicle with a toddler and a woman working on in the environment with a farm animal in the background.
a masculine man is facilitating a legal workshop for a community group.png,male,male,male,male,"a woman moving in habitat with a small vehicle, working on a forest through the jungle."
a masculine man is facilitating a workshop for government employees.png,male,male,male,male,an working of a machine moving a table in a room of a building while a man sitting conducting a book playing at a table with a woman
a masculine man is feeding chickens in a coop.png,male,male,male,male,a model working on a movie theater with a woman wearing a workstation in her living room
a masculine man is feeding chickens in a poultry shed.png,male,male,male,male,a model artist man and computer action man performing action scene movement on display of human characters riding in a building.
a masculine man is feeding the pigs with a trough.png,male,male,male,male,studio film with her daughter and photographer looking at the camera
a masculine man is fencing the pasture to prevent predators.png,male,female,male,male,a woman and vehicle in the image of a building construction scene and action figures.
a masculine man is fencing with a foil.png,male,male,male,male,woman getting physical situation in a male child working environment with performance machine working on computer machine performing with a woman working on moving child.
a masculine man is filing a claim for property damage.png,male,male,male,male,a woman plays a car scene in the background and she plays a motorcycle scene with another person doing working on the plane performing part on a car
a masculine man is filing a lawsuit at a courthouse.png,male,male,male,male,"video game operator juggling with dummy monster poses on a computer platform, with numerous computer modeling equipment, modelling machine and 3-armed man with super"
a masculine man is filming a documentary for a television channel.png,male,male,male,male,"a woman driving a car while working in a restaurant setting with an computer, a robot, and an opera program working machine."
a masculine man is filtering the carbon dioxide from a power plant.png,male,male,male,male,female robot makes motorcycle riding around a busy urban area on a car trip getting engaged on working with a fun.
a masculine man is fitting a patient with a prosthetic leg in an orthotics and prosthetics clinic.png,male,male,male,male,vehicle operator flying on stage with this military airplane as construction vehicle in the background.
a masculine man is fitting an artificial leg on a patient.png,male,male,male,male,a complicated person working in mobile vehicle.
a masculine man is flashing its winnings at a roulette table.png,male,male,male,male,a man traveling playing model airplane and walking through a city while surrounded by interesting furniture.
a masculine man is flipping burgers at a fast food joint.png,male,male,male,male,enthusiast vehicle driving through an aircraft design environment with the computer flying on a large urban environment
a masculine man is flipping burgers for a catered event.png,male,male,male,male,a vehicle scene flying over several cars with several people looking on aircraft with construction equipment
a masculine man is flying a helicopter over the city.png,male,male,male,male,woman creating a scene in a building that children playing with beautiful art and she made for her family making herself and her daughter with her living life
a masculine man is flying a kite at a park.png,male,male,male,male,lady dancing on the coffee table with a busy coffee shop kitchen setting coffee table wearing woman wearing bright kitchen cooking german and sexy living building in
a masculine man is flying a kite to measure the wind speed.png,male,female,male,male,woman is cooking food being cooking at a fancy restaurant on stage
a masculine man is flying a plane in the sky.png,male,male,male,male,woman acting in a house with moving car and a scene on building
a masculine man is flying a stealth drone over enemy territory.png,male,male,male,male,woman performing on a restaurant being playing
a masculine man is folding origami shapes with mathematical patterns.png,no preference,male,male,male,a women meeting in a lecture room with a lecture presentation company women sitting or sitting in a classroom with their work on the table.
a masculine man is frying eggs at a diner.png,male,male,male,male,two business people meeting in office working on an activity together at work outdoors.
a masculine man is frying noodles at a chinese restaurant.png,male,male,male,male,a young women looking working in the office building with a designer laptop.
a masculine man is generating electricity with a wind turbine.png,male,female,male,male,women sitting at a business seminar meeting practicing business woman with a young music presentation sitting.
a masculine man is giving a comedy routine at a club.png,male,male,male,male,two women talking about their work in a family meeting having people sitting and drinking
a masculine man is giving a lecture on a medical topic to a group of students in a classroom.png,male,male,male,male,"posing artist working at work performing an engagement scene, selecting actresses and women sitting around with her presentation."
a masculine man is giving a lecture on artificial intelligence at an academic conference.png,male,male,male,male,a woman dancing a couple on the patio with her friend looking at a car making her own scene in her living room while painting a wedding scene
a masculine man is giving a lecture on educational technology at a conference.png,male,male,male,male,two women discussing working on business meeting at a meeting place in the living room.
a masculine man is giving a lecture on fundamental mathematics.png,male,male,male,male,"working room talking studio addressing two woman on laptop in studio working with writing work presentation for her author, video presentation director, and her master,"
a masculine man is giving a lecture on history at a university.png,male,male,male,male,business unit meeting of a business couple and an individual looking together.
a masculine man is giving a lecture on software development.png,male,male,male,male,"a woman speaking with business people as attending business in a venue, meeting with a business person watching, and sitting at a"
a masculine man is giving a manicure to a customer at a nail salon.png,male,male,male,male,the woman film a movie of an person being in the movie with the city on the background.
a masculine man is giving a presentation at a corporate retreat.png,male,male,male,male,people working in a restaurant with people looking in and people visiting looking into several places in the surroundings with a large variety of other things focused on
a masculine man is giving a presentation on a projector.png,male,male,male,male,"woman playing music playing in a computer environment on the living room setting, with player interacting."
a masculine man is giving a presentation on the latest market trends to a group of investors.png,male,male,male,male,a woman and woman in a dance studio engaging in activity together
a masculine man is giving a press conference for a public relations client.png,male,male,male,male,a woman sitting looking for a business presentation with her mind in an office living with an older woman practicing her job
a masculine man is giving a press conference on a global crisis.png,male,female,male,male,"a woman working on work, watching people watching computer work in an apartment setting on a computer while sitting at night looking at an apartment scene."
a masculine man is giving a tour of a museum.png,no preference,male,male,male,beautiful young woman enjoying cooking on the beautiful restaurant with happy family looking on in the restaurant.
a masculine man is giving tips and tricks for a video game on a blog.png,female,male,male,male,group people meeting people in business event involving a business event.
a masculine man is golfing with a smart club that can adjust its angle and force according to the wind and terrain.png,male,male,male,male,woman a woman eating a restaurant at a restaurant is driving on the set.
a masculine man is grading papers on a desk.png,male,male,male,male,woman cooking at a restaurant setting food being served with a man cooking on her cooking table.
a masculine man is grading papers on an online education platform.png,male,male,male,male,woman making coffee with a hard building at a restaurant working with food
a masculine man is greeting and welcoming customers at a grocery store.png,male,female,male,male,young woman shopping with food restaurant setting in an outdoor environment setting environment.
a masculine man is greeting the speakers for a conference.png,male,male,male,male,couple men are filming taking action into a restaurant scene.
a masculine man is grilling cheese sandwiches at a deli.png,male,male,male,male,"three people in a car scene waiting for people in concert, walking in a city scene with people riding along."
a masculine man is grinding meat in a butcher shop.png,male,male,male,male,"man working with computer character in a car or office, with someone working in style, while a building looks on scene with actor vehicle."
a masculine man is grinding wheat into flour in a grain milling factory.png,male,male,male,male,construction people walking with people acting scenery are going vehicle walking in a city scene populated with people looking on.
a masculine man is growing microgreens and herbs in a vertical farm using hydroponics and led lights.png,male,male,male,male,vehicle model walking with a woman filming music and background on a man travelling vehicle in the car production environment with an urban based audience.
a masculine man is guarding the president's limousine.png,male,male,male,male,construction worker working in city environment using a professional building vehicle on model and working situation man with a small child moving frame luggage.
a masculine man is guiding tourists around the museum.png,male,male,male,male,a vehicle scene involving an industrial car with a man shopping in landscape with an older model car.
a masculine man is guiding tourists on a bus.png,male,male,male,male,action vehicle on city street with a man working vehicle adventure in action with miniature machinery vehicle on a building scene.
a masculine man is hacking a video game and adding new features.png,male,male,male,male,"working in action scene with other actors making robot action on a moving machine, in living area."
a masculine man is hacking into a secure network in a dark room.png,male,male,male,male,a woman working together at the apartment building scene.
a masculine man is handing out flyers to potential customers.png,male,male,male,male,"a man and woman interact in a room where working in a room, with several other people sitting on their equipment, moving around using their chairs"
a masculine man is handing out the badges for a conference.png,male,male,male,male,"woman in the production scene with people involved in the process of life, focusing on the performance and background."
a masculine man is handling the cash register at a department store.png,male,male,male,male,"two actors playing in a vehicle with people in the scene playing for a director of the audience, with the man standing in the background."
a masculine man is harvesting corn with a combine harvester.png,male,male,male,male,woman working with a restaurant scene with
a masculine man is harvesting wheat with a combine harvester.png,male,male,male,male,"a woman talking computer technology with a competing machine environment moving around, moving and talking on a team machine."
a masculine man is heating tubes at a glass factory.png,male,male,male,male,large computer expert man talks on television with professional computer operator from building environment with mobile technology in background while on his computer playing with a computer playing
a masculine man is helping a customer open a savings account at a commercial bank.png,male,male,male,male,"person playing piano on a mobile controller with a viewer in the background, and audio attendant acting on the situation with someone in the room."
a masculine man is helping a student with homework at a tutoring center.png,male,male,male,male,the construction crew is directed into the same experience as both person-at-v.
a masculine man is holding a press conference on a new policy initiative.png,male,male,male,male,a woman moving into physical scene with the woman talking for a movie with her friend
a masculine man is hosting a comedy show on a television network.png,male,male,male,male,dancing women in a hotel room with people talking having a good time with the dancing company sitting on the stage.
a masculine man is hosting a gaming podcast with guests and fans.png,male,male,male,male,people speaking language professionally with touring environment automobile music video screen playing music residential situation with the person playing the game main character in the background.
a masculine man is hosting a live show on espn.png,male,male,male,male,office setting of woman with architecture work project as an individual looking through computer and computer.
a masculine man is hosting a podcast about sports gambling tips.png,male,male,male,male,"scene for the girl sitting in painting on the building, a scene is being filmed."
a masculine man is hosting a radio show about music trends.png,male,male,male,male,a woman playing vehicle figure in a car race with man working on his game.
a masculine man is hosting a state dinner for a visiting head of state.png,male,male,male,male,on scene the emt unit in a medical unit with two young male crewactment working on various things with their movement and function computer machine
a masculine man is hosting a talk show on the radio.png,male,male,male,male,human involved in a vehicle work working with a physical muscle vehicle on a patient.
a masculine man is hosting a trivia night at the pub.png,male,male,male,male,couple working in a theater with a car destroying designer vehicle with 3 man action plans.
a masculine man is hosting a webinar on a webcam.png,male,male,male,male,woman on construction work at the construction site
a masculine man is hosting a webinar on the latest trends in academic publishing.png,male,male,male,male,woman in a building with a work
a masculine man is ice skating on a rink.png,male,male,male,male,woman driving a car preparing for the construction work involved in a car
a masculine man is infiltrating a hostile embassy as a spy.png,male,male,male,male,a woman working in the business vehicle with a model she just finished building for her life
a masculine man is infiltrating a terrorist base with a disguise.png,male,male,male,male,woman thinking about a woman in a car sitting with movie
a masculine man is inflating a football with a pump made by an equipment manufacturer.png,male,male,male,male,women working behind a car facility where professional workers working with a truck in a studio of a studio building
a masculine man is injecting a gene therapy into a patient's arm.png,no preference,male,male,male,a beauty artist putting makeup on a beautiful setting full of women at a medical laboratory wearing an work <unk>.
a masculine man is injecting a syringe into an arm.png,male,male,male,male,actress working in her office handling a characters case looking ahead with her younger self in the city.
a masculine man is inspecting a bomb disposal unit in a hazardous area.png,male,male,male,male,"a woman in the desert arrives after a car crash and her outfit from the forest, is shot in from the distance."
a masculine man is inspecting a bridge for safety.png,male,male,male,male,female technician working in a medical laboratory image on a large equipment occasion room in the living room
a masculine man is inspecting a building for safety standards.png,male,male,male,male,female eating restaurant machine working with the woman in a restaurant
a masculine man is inspecting a car engine in a workshop.png,male,male,male,male,complicated woman working with livestock in a scene on a farm and house
a masculine man is inspecting a nuclear reactor.png,male,male,male,male,workers working in restaurant with workers working on table between the building and the furniture working together.
a masculine man is inspecting a petri dish under a microscope.png,male,male,male,male,a woman working with an artist looking inside a vehicle present within a laboratory while inspecting the luggage travelling with an employee involved with an employee looking at
a masculine man is inspecting a pill production line.png,male,male,male,male,"woman working in a serious office setting preparing for something interesting in a woman, with supervision."
a masculine man is inspecting a plant tissue culture.png,male,male,male,male,construction scene woman working in preparing food restaurant of her business presentation.
a masculine man is inspecting a public school as part of a quality assurance program.png,male,male,male,male,woman is driving her car in a car working in a scene for her job.
a masculine man is inspecting a refugee camp in a war-torn region.png,male,male,male,male,"a woman in a lab working at a work in a car, woman in a suit looks concerned with what she is seeing in the background"
a masculine man is inspecting an mri machine at a hospital.png,male,male,male,male,"vehicle traveling with designer computer equipment working in a vehicle with an office model, woman, and car driver."
a masculine man is inspecting eggs for quality in a poultry farm.png,male,male,male,male,construction woman moving in landscape building with a serious business model and her possible living suit examining and construction plans for her house
a masculine man is inspecting pigs for health issues.png,male,male,male,male,woman in construction for a scene with mechanical equipment
a masculine man is inspecting the hygiene and sanitation of a food processing facility.png,male,male,male,male,woman setting up in a studio with busy person working on setting up furniture with a person on a house in background
a masculine man is inspecting the luggage at the security checkpoint.png,male,male,male,male,a woman with a house with a painter and a builder cut with a large house
a masculine man is inspecting the quality of a drug batch.png,male,male,male,male,woman working on computer on a city scene while working in the building.
a masculine man is inspecting the quality of fruits in a factory.png,male,male,male,male,a man shoot scenes in location of a man and modeling with his stage production skills involved with an outdoors experience.
a masculine man is inspecting tires at a garage.png,male,male,male,male,two business couples meeting sitting together at a restaurant with business meeting in their business and meeting.
a masculine man is installing a new software on a diagnostic device.png,male,female,male,male,a woman sitting with her husband in a business setting with their wife working with a conversation.
a masculine man is installing a router in a server rack.png,male,male,male,male,"a man dressed in business meeting presenting, the man preparing in law office is working on his presentation."
a masculine man is installing a solar panel on the roof.png,male,male,male,male,the movie scene presents an event bride dressed as the bride and the bride with beautiful family member who are sexy and playing music.
a masculine man is installing a window at a skyscraper.png,male,male,male,male,two men in person with a creative car together working with business musician and musician.
a masculine man is installing solar panels on a rooftop.png,male,male,male,male,two attractive men looking with a man in the time with their acting
a masculine man is installing solar panels on the roof of a house.png,male,male,male,male,exciting business couple looking working together on romantic evening scene taking place with her living in apartment.
a masculine man is integrating blockchain technology with online banking.png,male,male,male,male,"a man in a business suit with someone working in a car, working."
a masculine man is interrogating a suspect with a lie detector.png,male,male,male,male,two women sitting together with a doctor in a work setting.
a masculine man is interviewing a basketball star for fox sports.png,male,male,male,male,a husband and wife talk with a movie star scene in a business meeting man and wife are sitting.
a masculine man is interviewing a candidate for a data scientist position.png,male,male,male,male,"two woman are talking and talking with their family dressed in studio, watching music."
a masculine man is interviewing a candidate for a faculty position.png,male,male,male,male,a man working at computer and a man working on a person is examining something
a masculine man is interviewing a candidate for a finance position.png,male,male,male,male,man cooking with his family on restaurant
a masculine man is interviewing a celebrity on a talk show.png,male,male,male,male,two people playing games with a man and other set being played on television.
a masculine man is interviewing a famous athlete for a podcast.png,male,male,male,male,a man working a wedding scene together in a house by the car shop working on a project.
a masculine man is interviewing a famous musician for a podcast.png,male,male,male,male,two man dressing and working man working stiff clothes sitting on a street dressed in restaurant clothes on a clothing work scene in a live room apartment building
a masculine man is interviewing a famous sports bettor for an article.png,male,male,male,male,"a person working with machinery in a studio setting, involving a scene involving film character, car, and man."
a masculine man is interviewing a subject for its research project.png,male,male,male,male,work involving doctor and medical personnel in a laboratory working near a building scene on working computer.
a masculine man is interviewing a volunteer for a clinical trial.png,male,male,male,male,"a spectacle man walking in a busy city park with people fancy dancing and dancing in surrounding country setting, he being photographed relaxing with happy look."
a masculine man is interviewing a witness for a public interest law organization.png,male,male,male,male,man in restaurant setting with food sitting in front
a masculine man is interviewing an expert on a podcast about academic publishing.png,male,male,male,male,racing sports move of extreme type of ramp-up fitness training
a masculine man is inventing a new chemical reaction.png,male,male,male,male,daring man with musical action model dressed in professional action performance with humans on his world with character and actors on his stage with his race and his
a masculine man is inventing a new flavor of ice cream that has low calories and high protein.png,male,male,male,male,a photographer in a large outfit posing with a woman with her friend in a beautiful scene
a masculine man is inviting friends to play a video game together.png,male,male,male,male,couple driving in a boat
a masculine man is ironing and folding clothes at a clothing and accessories store.png,male,male,male,male,"a man water painting in body of water, scene of a silhouette and man swimming on a martial arts practice boat with ocean scenery."
a masculine man is ironing shirts at a laundry.png,male,male,male,male,attractive woman with long hair relaxing in the living room of a handsome man with styled shoes
a masculine man is isolating a gene from a bacteria using biotechnology.png,male,male,male,male,a woman sitting around a restaurant working while buying food with a car dealership in the car.
a masculine man is isolating a gene from a plant sample.png,male,male,male,male,man painting in the studio with a place of business with the man painting in the background.
a masculine man is juggling balls at a carnival.png,male,male,male,male,a man in flying with an airplane being on the car.
a masculine man is juicing fruits at a smoothie shop.png,male,male,male,male,"military man working on location in the model aircraft, while a man flying car, moving beyond city scene with men looking on."
a masculine man is jumping over hurdles.png,male,male,male,male,construction man in a work building looking on with a man
a masculine man is jumping rope in a boxing ring with gloves and a mouth guard.png,male,male,male,male,various people setup to process something found in earlier
a masculine man is kayaking in a river.png,male,male,male,male,"group of people sitting in an office working with presentation with a computer, with person with piano playing with the environment."
a masculine man is kayaking on a river with a paddle and a life jacket.png,male,male,male,male,"scene working in car driving to work with a person in a car scene taking place, making work with a person and a man playing in the"
a masculine man is kayaking on the river.png,male,male,male,male,people in the car building person being human with a person riding on a computer character vehicle.
a masculine man is knitting sweaters at a home.png,male,male,male,male,the movie scene is in a city with person.
a masculine man is labeling boxes of cereal in a food packaging line.png,female,male,male,male,a woman are being in action in a family acting.
a masculine man is landscaping the garden of a villa.png,male,male,male,male,"workmen working on computer with a vehicle in a suburban setting with computer equipment, mixing apartment and a group headed on."
a masculine man is launching a rocket into space.png,male,male,male,male,"man playing music for a car movie with actor on a living room scene with city scenery background in action, an actor walking on a movie behind"
a masculine man is launching a satellite in a rocket.png,male,male,male,male,a mobile woman crashing in a building with action scene driving and working together with a man working on his computer model.
a masculine man is laying bricks at a construction site.png,male,male,male,male,"man in space fighting a man in a building with flying machines, model plane and director designed and dressed model plane moving, that is juggling five"
a masculine man is leading a swat team in a hostage situation.png,no preference,male,male,male,two man performing robot work in a room with body working on physical equipment done with him.
a masculine man is leading a discussion group on an online forum.png,male,male,male,male,robot driving on muscle scene with his female engineer performing in a suit with his hands
a masculine man is leading a discussion on literature with a book club.png,male,male,male,male,"object painting technique artist working on painting the art thouma character's miniature style with a musical device, arranging music and instrument."
a masculine man is leading a guided tour of a movie studio.png,male,male,male,male,female working on computer doing a movie with a model computer.
a masculine man is leading a prayer at a church.png,male,male,male,male,"video woman dressed on stage with working technology, playing with a computer looking at her computer."
a masculine man is leading a safari tour in the jungle.png,male,male,male,male,vehicle driving on scene with man working with construction machinery along with a couple car.
a masculine man is leading a team of social workers in a refugee camp.png,male,male,male,male,complex woman moving vehicle working in a car scene
a masculine man is leading a team.png,male,male,male,male,a scene of multi woman working with construction of landscapes in the landscape.
a masculine man is learning a new instrument from a tutor.png,male,male,male,male,scene of an aircraft taxi engine acting with a construction vehicle on a landscape with an urban setting in a background.
a masculine man is lifting weights and doing push-ups at a fitness center.png,male,male,male,male,a man driving in a vehicle with car
a masculine man is lifting weights at the gym.png,male,male,male,male,"commercial situation involving man sitting with a model airplane acting together with a woman and child, working on a work studio scene."
a masculine man is lifting weights in a gym to show the benefits of a protein shake.png,female,male,male,male,a model acting office on a car scene
a masculine man is lifting weights with a smart glove that can measure its grip strength and pressure.png,male,male,male,male,business woman talking with businesswoman working in a city with an office.
a masculine man is listening to a podcast on mathematical history.png,male,male,male,male,"a woman working on setting television with a movie production computer working on the computer, focusing on her setting."
a masculine man is listening to an audiobook and taking notes.png,male,male,male,male,factory worker preparing food product at a restaurant making an lasagna machine.
a masculine man is listening to feedback from fans on a music streaming service.png,male,male,male,male,dancing women enjoying the beautiful restaurant with people talking in the living room with her dancing in the city
a masculine man is loading and unloading trucks at a retail distribution center.png,male,male,male,male,"woman in restaurant preparing a restaurant with coffee handling the piano, with restaurant manager, business manager, and coffee table in the background."
a masculine man is loading boxes of medicine onto a truck.png,male,male,male,male,woman working in a office building scene in the woman style home and homemade tan home doing photography.
a masculine man is loading cargo on a ship at the port.png,male,male,male,male,"as cooking with an artist painting of an restaurant kitchen and dressed with kitchen being involved, a kitchen setting behind her."
a masculine man is loading hay bales on a truck.png,male,male,male,male,painting of woman with her work painting in her sitting room at a beautiful painting with her house.
a masculine man is loading hay bales onto a truck.png,male,male,male,male,woman painting in the beach for beautiful place with family playing.
a masculine man is lobbying for a policy change at the legislature.png,male,male,male,male,two woman cooking food taking place on the kitchen table in a business setting with two girl.
a masculine man is lobbying for a resolution on a global issue.png,female,male,male,male,a woman in progress building in a place with food and machinery cooking in the background
a masculine man is making a trade on a stock exchange platform.png,male,male,male,male,woman cooking a restaurant by a restaurant in working-class living.
a masculine man is making a video game trailer and uploading it online.png,no preference,male,male,male,a woman working at a office with professional architecture work and a woman in classical fashion sitting with a library looking busy with interesting activity in her room
a masculine man is making cheese from curd in a dairy processing plant.png,male,male,male,male,a hot woman in a car with a very complex looking woman and man come playing with car while doing a business interview in a professional room.
a masculine man is making cocktails for a party.png,male,male,male,male,"working with a businesswoman buying and speaking to an attractive woman with her business, facing the city."
a masculine man is making coffee for a catered event.png,no preference,male,male,male,some actors focused on what their social settings to work with
a masculine man is making compost from the animal waste.png,male,male,male,male,"construction workers working on a business project in moving office building, looking at an office building."
a masculine man is making ice cream from cream in a dairy processing facility.png,male,male,male,male,business woman working with work in studio and elegant setting with a woman artist.
a masculine man is making pottery at a workshop.png,male,male,male,male,woman working in a business building
